Reported Date,Name of Entity,Dates of Breach,State Reported,Source(s),Link to PDF,Start Date of Breach,End Date of Breach
2018-07-13 00:00:00,"ComplyRight, Inc.",4/20/2018 to 05/22/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ComplyRightInc.2018-07-25.pdf,2018-04-20 00:00:00,2018-05-22 00:00:00
2018-07-06 00:00:00,International Mission Board,04/11/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/InternationalMissionBoard.2018-07-06%20%281%29.pdf,2018-04-11 00:00:00,
2018-07-06 00:00:00,"Coty, Inc.",01/12/2018 to 02/08/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CotyInc.2018-07-06.pdf,2018-01-12 00:00:00,2018-02-08 00:00:00
2018-07-01 00:00:00,"Macy's, Inc.",04/26/2018 to 06/12/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Macy%27s.2018-07-02.pdf,2018-04-26 00:00:00,2018-06-12 00:00:00
2018-06-29 00:00:00,Northwest University,Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NorthwestUniversity.2018-06-29.pdf,Unspecified,
2018-06-23 00:00:00,"Terteling Company, Inc.",05/01/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TertelingCompanyInc.2018-06-23.pdf,2018-05-01 00:00:00,
2018-06-08 00:00:00,Manduka (Update),02/22/2017 to 03/05/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MandukaUpdate.2018-06-08.pdf,2017-02-22 00:00:00,2018-03-05 00:00:00
2018-06-01 00:00:00,Transamerica Retirement Solutions,Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Transamerica.2018-06-01.pdf,Unspecified,
2018-05-22 00:00:00,"Deli Management, Inc. (Jason's Deli)",Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/DeliManagementIncUpdated.2018-05-22.pdf,Unspecified,
2018-05-18 00:00:00,Brinker International (Chilis),03/2018 to 04/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/BrinkerInternational%28Chili%27s%29.2018-05-22.pdf,2018-03-01 00:00:00,2018-04-01 00:00:00
