Name of Entity,Dates of Breach,Type of Breach,Individuals Affected,State Reported,Start Date of Breach
"Fast Forward Academy, LLC",1/5/2015,unauthorized access,375 (in Maryland),Maryland,2015-01-05 00:00:00
"Fast Forward Academy, LLC",1/5/2015,unauthorized access,375 (in Maryland),Maryland,2015-01-05 00:00:00
Art of Tea,1/5/2015,cyber attack, (in Maryland),Maryland,2015-01-05 00:00:00
Art of Tea,1/5/2015,cyber attack, (in Maryland),Maryland,2015-01-05 00:00:00
ValuePetSupplies.com,1/7/2015,malware, (in Maryland),Maryland,2015-01-07 00:00:00
CoreLogic Credco,1/7/2015,unauthorized third party fraudulently obtained credentials to obtain access to the credit report ordering system,2 (in Maryland),Maryland,2015-01-07 00:00:00
ValuePetSupplies.com,1/7/2015,malware, (in Maryland),Maryland,2015-01-07 00:00:00
ValuePetSupplies.com,1/7/2015,malware, (in Maryland),Maryland,2015-01-07 00:00:00
ValuePetSupplies.com,1/7/2015,malware, (in Maryland),Maryland,2015-01-07 00:00:00
Charlotte Russe,1/7/2015,seasonal employee improperly accessed and used customer information,3 (in Maryland),Maryland,2015-01-07 00:00:00
ValuePetSupplies.com,1/7/2015,malware, (in Maryland),Maryland,2015-01-07 00:00:00
Innotrac,1/7/2015,seasonal employee improperly accessed and used customer information,3 (in Maryland),Maryland,2015-01-07 00:00:00
"Coulter Ventures, LLC D/B/A Rogue Fitness",1/7/2015,email attachment sent by customers publicly accessible on the internet,1 (in Maryland),Maryland,2015-01-07 00:00:00
Function Point Productivity Software,1/8/2015,employee&#39;s account accessed by unauthorized individual,1 (in Maryland),Maryland,2015-01-08 00:00:00
Aetna (Security Breach),1/8/2015,unauthorized access by former employee,6 (in Maryland),Maryland,2015-01-08 00:00:00
Aetna (Security Breach),1/8/2015,unauthorized access by former employee,6 (in Maryland),Maryland,2015-01-08 00:00:00
Direct Marketing Association,1/8/2015,unauthorized access (malware) to payment card info in online bookstore, (in Maryland),Maryland,2015-01-08 00:00:00
Aetna (Security Breach),1/8/2015,unauthorized access by former employee,6 (in Maryland),Maryland,2015-01-08 00:00:00
"Valpast Supply Services, Inc.",1/13/2015,improper access by former temporary employee,16 (in Maryland),Maryland,2015-01-13 00:00:00
Onestop parking,1/14/2015,hacking, (in Maryland),Maryland,2015-01-14 00:00:00
"Barbecue Renew, Inc.",1/16/2015,hackers, (in Maryland),Maryland,2015-01-16 00:00:00
"Citizens Financial Group, Inc.",1/16/2015,fraudulent representation,3 (in Maryland),Maryland,2015-01-16 00:00:00
"Citizens Financial Group, Inc.",1/16/2015,fraudulent representation,3 (in Maryland),Maryland,2015-01-16 00:00:00
"Citizens Financial Group, Inc.",1/16/2015,fraudulent representation,3 (in Maryland),Maryland,2015-01-16 00:00:00
Columbia Management,1/20/2015,error during website upgrade,2 (in Maryland),Maryland,2015-01-20 00:00:00
Aventura Hospital and Medical Center,1/20/2015,improper access by hospital employee,2 (in Maryland),Maryland,2015-01-20 00:00:00
"Citibank, N.A.",1/20/2015,ssn inadvertently contained in the address line, (in Maryland),Maryland,2015-01-20 00:00:00
"Ascensus, Inc.",1/26/2015,info inadvertently sent to external financial advisor,5 (in Maryland),Maryland,2015-01-26 00:00:00
Westmont College,1/26/2015,laptop stolen from car,1 (in Maryland),Maryland,2015-01-26 00:00:00
"Otsuka America, Inc.",1/29/2015,backup server stolen, (in Maryland),Maryland,2015-01-29 00:00:00
"Otsuka America, Inc.",1/29/2015,backup server stolen, (in Maryland),Maryland,2015-01-29 00:00:00
Chubb &amp; Son,1/30/2015,malware,26 (in Maryland),Maryland,2015-01-30 00:00:00
Insperity,1/30/2015,malware,2 (in Maryland),Maryland,2015-01-30 00:00:00
UMass Memorial Medical Group,1/30/2015,employee improperly accessed billing info, (in Maryland),Maryland,2015-01-30 00:00:00
Seterus,1/30/2015,info mailed to former address,1 (in Maryland),Maryland,2015-01-30 00:00:00
"CICS Employment Services, Inc.",2/2/2015,unauthorized acess,53 (in Maryland),Maryland,2015-02-02 00:00:00
"CICS Employment Services, Inc.",2/2/2015,unauthorized acess,53 (in Maryland),Maryland,2015-02-02 00:00:00
ModSpace,2/3/2015,email to unauthorized third party,14 (in Maryland),Maryland,2015-02-03 00:00:00
"OnDeck Capital, Inc.",2/4/2015,employees lost two laptops,3 (in Maryland),Maryland,2015-02-04 00:00:00
"Phoenix House Foundation, Inc.",2/5/2015,consultant made unauthorized changes to payroll system, (in Maryland),Maryland,2015-02-05 00:00:00
"Phoenix House Foundation, Inc.",2/5/2015,consultant made unauthorized changes to payroll system, (in Maryland),Maryland,2015-02-05 00:00:00
"Kohl&#39;s Department Stores, Inc.",2/6/2015,third party call center employee improperly captured info for unauthorized purposes,9 (in Maryland),Maryland,2015-02-06 00:00:00
Blue Sky Casino LL,2/6/2015,malware,101 (in Maryland),Maryland,2015-02-06 00:00:00
ValuTeachers,2/9/2015,attachment inadvertently included on email,79 (in Maryland),Maryland,2015-02-09 00:00:00
"Big Fish Games, Inc.",2/9/2015,malware,440 (in Maryland),Maryland,2015-02-09 00:00:00
"Anthem, Inc.",2/10/2015,hackers,70 (in Maryland),Maryland,2015-02-10 00:00:00
"Ascensus, Inc.",2/10/2015,letter inadvertently sent to wrong client,2 (in Maryland),Maryland,2015-02-10 00:00:00
"Ascensus, Inc.",2/10/2015,inadvertently mailed info,1 (in Maryland),Maryland,2015-02-10 00:00:00
Nationstar Mortgage LLC,2/10/2015,34 loan modification documents lost in transit, (in Maryland),Maryland,2015-02-10 00:00:00
Nationstar Mortgage LLC,2/10/2015,34 loan modification documents lost in transit, (in Maryland),Maryland,2015-02-10 00:00:00
"Anthem, Inc.",2/12/2015,cyber attack, (in Maryland),Maryland,2015-02-12 00:00:00
Frederick County Public Schools,2/12/2015,w-2 info accessible on employee portal on website,"7,933 (in Maryland)",Maryland,2015-02-12 00:00:00
Frederick County Public Schools,2/12/2015,w-2 info accessible on employee portal on website,"7,933 (in Maryland)",Maryland,2015-02-12 00:00:00
Bulk Reef Supply,2/13/2015,hacking,391 (in Maryland),Maryland,2015-02-13 00:00:00
Bulk Reef Supply,2/13/2015,hacking,391 (in Maryland),Maryland,2015-02-13 00:00:00
intuit Inc.,2/15/2015,unauthorized access,100 (in Maryland),Maryland,2015-02-15 00:00:00
intuit Inc.,2/15/2015,unauthorized access,100 (in Maryland),Maryland,2015-02-15 00:00:00
intuit Inc.,2/15/2015,unauthorized access,100 (in Maryland),Maryland,2015-02-15 00:00:00
intuit Inc.,2/15/2015,unauthorized access,100 (in Maryland),Maryland,2015-02-15 00:00:00
intuit Inc.,2/15/2015,unauthorized access,100 (in Maryland),Maryland,2015-02-15 00:00:00
intuit Inc.,2/15/2015,unauthorized access,100 (in Maryland),Maryland,2015-02-15 00:00:00
"Harford Surgical Associates, P.A.",2/19/2015,multiple bills inadvertently mailed, (in Maryland),Maryland,2015-02-19 00:00:00
Gategroup,2/19/2015,unauthorized access to W-2 info,2 (in Maryland),Maryland,2015-02-19 00:00:00
"Dr, Cathrine Steinborn, DDS",2/19/2015,server stolen during office burglary,3 (in Maryland),Maryland,2015-02-19 00:00:00
BAE Systems SHared Services Inc.,2/20/2015,documents removed from the company without authorization,4 (in Maryland),Maryland,2015-02-20 00:00:00
"CP Franchising, LLC DBA Cruise Planners",2/20/2015,cyber attack, (in Maryland),Maryland,2015-02-20 00:00:00
"CP Franchising, LLC d/b/a Cruise Planners",2/20/2015,cyber attack, (in Maryland),Maryland,2015-02-20 00:00:00
TriNet HR Corporation,2/23/2015,document inadvertently emailed to custmoer,24 (in Maryland),Maryland,2015-02-23 00:00:00
TD Bank,2/23/2015,employee improperly obtained and used confidential info to fraudulently withdraw funds,3 (in Maryland),Maryland,2015-02-23 00:00:00
Kaplan University,2/23/2015,theft,7 (in Maryland),Maryland,2015-02-23 00:00:00
Fidelity Investments,2/23/2015,documents converted by unauthorized third party website,4 (in Maryland),Maryland,2015-02-23 00:00:00
Scripps Networks Interactive,2/23/2015,hackers,7 (in Maryland),Maryland,2015-02-23 00:00:00
Percheron LLC,2/23/2015,unencrypted hard drive containing tax forms stolen, (in Maryland),Maryland,2015-02-23 00:00:00
Percheron LLC,2/23/2015,unencrypted hard drive containing tax forms stolen, (in Maryland),Maryland,2015-02-23 00:00:00
Cigna,2/24/2015,info inadvertently viewable on mobile application,1 (in Maryland),Maryland,2015-02-24 00:00:00
"Gallagher Bassett Services, Inc.",2/24/2015,desktop computer stolen,2 (in Maryland),Maryland,2015-02-24 00:00:00
"Citibank, N.A.",2/25/2015,unauthorized access by employee,1 (in Maryland),Maryland,2015-02-25 00:00:00
"Uber Technologies, Inc.",2/25/2015,unauthorized access by third party,"1,458 (in Maryland)",Maryland,2015-02-25 00:00:00
University of Chicago,2/26/2015,external cyber attack,41 (in Maryland),Maryland,2015-02-26 00:00:00
University of Chicago,2/26/2015,external cyber attack,41 (in Maryland),Maryland,2015-02-26 00:00:00
"Lime Crime, Inc.",3/2/2015,malicious software,"2,077 (in Maryland)",Maryland,2015-03-02 00:00:00
American Apparel,3/2/2015,See Anthem notice, (in Maryland),Maryland,2015-03-02 00:00:00
"Lime Crime, Inc.",3/2/2015,malicious software,"2,077 (in Maryland)",Maryland,2015-03-02 00:00:00
Bed Bath &amp; Beyond,3/2/2015,improper access by employee,50 (in Maryland),Maryland,2015-03-02 00:00:00
"Amedisys, Inc.",3/2/2015,unauthorized access to 142 computers and laptops,179 (in Maryland),Maryland,2015-03-02 00:00:00
Health Care Service Corporation,3/4/2015,See Anthem notice, (in Maryland),Maryland,2015-03-04 00:00:00
Health Care Service Corporation,3/4/2015,See Anthem notice, (in Maryland),Maryland,2015-03-04 00:00:00
Kraft Music LTD,3/4/2015,malware,37 (in Maryland),Maryland,2015-03-04 00:00:00
Fidelity Investments,3/4/2015,information provided to wrong person by mistake,23 (in Maryland),Maryland,2015-03-04 00:00:00
The Painted Turtle,3/5/2015,database error may have allowed application info to be viewable by unauthorized individuals, (in Maryland),Maryland,2015-03-05 00:00:00
Indiana State Medical Association,3/5/2015,archive drives stolen, (in Maryland),Maryland,2015-03-05 00:00:00
The Painted Turtle,3/5/2015,database error may have allowed application info to be viewable by unauthorized individuals, (in Maryland),Maryland,2015-03-05 00:00:00
Indiana State Medical Association,3/5/2015,archive drives stolen, (in Maryland),Maryland,2015-03-05 00:00:00
The Painted Turtle,3/5/2015,database error may have allowed application info to be viewable by unauthorized individuals, (in Maryland),Maryland,2015-03-05 00:00:00
Indiana State Medical Association,3/5/2015,archive drives stolen, (in Maryland),Maryland,2015-03-05 00:00:00
Indiana State Medical Association,3/5/2015,archive drives stolen, (in Maryland),Maryland,2015-03-05 00:00:00
Indiana State Medical Association,3/5/2015,archive drives stolen, (in Maryland),Maryland,2015-03-05 00:00:00
The Wendy&#39;s Company,3/6/2015,see Anthem notice, (in Maryland),Maryland,2015-03-06 00:00:00
The Wendy&#39;s Company,3/6/2015,see Anthem notice, (in Maryland),Maryland,2015-03-06 00:00:00
"Cequal Communications, LLC DBA Suddenlink Communications",3/6/2015,bankruptcy filings not appropriately redacted,1 (in Maryland),Maryland,2015-03-06 00:00:00
"Dr. Anthony Green, DDS",3/6/2015,contents of storage unit sold at auction (which were later recovered),6 (in Maryland),Maryland,2015-03-06 00:00:00
"Dr. Anthony Green, DDS",3/6/2015,contents of storage unit sold at auction (which were later recovered),6 (in Maryland),Maryland,2015-03-06 00:00:00
"G&amp;J Pepsi Bottlers, Inc.",3/9/2015,info inadvertently accessible online,1 (in Maryland),Maryland,2015-03-09 00:00:00
"G&amp;J Pepsi Bottlers, Inc.",3/9/2015,info inadvertently accessible online,1 (in Maryland),Maryland,2015-03-09 00:00:00
"Ascensus, Inc.",3/9/2015,inadvertently sent report in incorrect client,504 (in Maryland),Maryland,2015-03-09 00:00:00
Benson Botsford LLC,3/10/2015,currently under investigation, (in Maryland),Maryland,2015-03-10 00:00:00
"SVC-West, LLC (Shell Vacations Club)",3/10/2015,information stolen during burglary,117 (in Maryland),Maryland,2015-03-10 00:00:00
"Cequel Communications, LLC DBA Suddenlink Communcations",3/11/2015,unredacted documents submitted in court filings,1 (in Maryland),Maryland,2015-03-11 00:00:00
TD Bank,3/11/2015,employees improperly obtained and used confidential info,1 (in Maryland),Maryland,2015-03-11 00:00:00
"Anthem, Inc.",3/12/2015,hacking,33 (in Maryland),Maryland,2015-03-12 00:00:00
City Winery,3/13/2015,hacking, (in Maryland),Maryland,2015-03-13 00:00:00
Equity Trust Company,3/13/2015,programming error,63 (in Maryland),Maryland,2015-03-13 00:00:00
LPL Financial,3/16/2015,email account accessed by fraudster,1 (in Maryland),Maryland,2015-03-16 00:00:00
Apple America Group LLC,3/17/2015,unencrypted flash drive lost,61 (in Maryland),Maryland,2015-03-17 00:00:00
Apple America Group LLC,3/17/2015,unencrypted flash drive lost,61 (in Maryland),Maryland,2015-03-17 00:00:00
"Citibank, N.A.",3/17/2015,info inadvertently emailed,2 (in Maryland),Maryland,2015-03-17 00:00:00
Premera Blue Cross,3/18/2015,cyber attack, (in Maryland),Maryland,2015-03-18 00:00:00
"Summit Health, Inc.",3/19/2015,phishing emails sent to employees,5 (in Maryland),Maryland,2015-03-19 00:00:00
"United Rentals, Inc.",3/19/2015,See Anthem breach notice, (in Maryland),Maryland,2015-03-19 00:00:00
BB&amp;T Mortgage Servicing,3/19/2015,incomplete mailing addresses printed on envolopes,"2,846 (in Maryland)",Maryland,2015-03-19 00:00:00
Lodge Manufacturing Company,3/19/2015,hacking,6 (in Maryland),Maryland,2015-03-19 00:00:00
OneStopParking,3/19/2015,hacking,212 (in Maryland),Maryland,2015-03-19 00:00:00
"Nuance Communications, Inc.",3/20/2015,hacking, (in Maryland),Maryland,2015-03-20 00:00:00
"TrueNorth Compliance, Inc.",3/20/2015,info inadvertently available online, (in Maryland),Maryland,2015-03-20 00:00:00
"Nuance Communications, Inc.",3/20/2015,hacking, (in Maryland),Maryland,2015-03-20 00:00:00
"TrueNorth Compliance, Inc.",3/20/2015,info inadvertently available online, (in Maryland),Maryland,2015-03-20 00:00:00
"Nuance Communications, Inc.",3/20/2015,hacking, (in Maryland),Maryland,2015-03-20 00:00:00
Central Dauphin School District,3/23/2015,images of driver&#39;s licenses not wiped from computer,2 (in Maryland),Maryland,2015-03-23 00:00:00
Alta Ski Lifts Co.,3/23/2015,hacking,3 (in Maryland),Maryland,2015-03-23 00:00:00
Bank of the West,3/25/2015,See Anthem notice,37 (in Maryland),Maryland,2015-03-25 00:00:00
The Prudential Insurance Company of America,3/26/2015,online info inadvertently linked to wrong account, (in Maryland),Maryland,2015-03-26 00:00:00
Ringor.com,3/26/2015,malicious code, (in Maryland),Maryland,2015-03-26 00:00:00
Maryland Health Benefit Exchange,3/26/2015,inadvertent disclosure by call center employee,1 (in Maryland),Maryland,2015-03-26 00:00:00
Central Registration Depository and Investment Adviser Resistration Depository,3/27/2015,inadvertent disclosure,11 (in Maryland),Maryland,2015-03-27 00:00:00
"Aurora Health Care, Inc.",3/30/2015,malware,2 (in Maryland),Maryland,2015-03-30 00:00:00
Nite Ize,3/30/2015,cyber attack,960 (in Maryland),Maryland,2015-03-30 00:00:00
Auburn University,3/31/2015,information inadvertently on the internet,"2,490 (in Maryland)",Maryland,2015-03-31 00:00:00
"Schiller &amp; Adam, P.A.",3/31/2015,unauthorized access,2 (in Maryland),Maryland,2015-03-31 00:00:00
"Informa USA, Inc.",3/31/2015,email inadvertently sent to wrong person, (in Maryland),Maryland,2015-03-31 00:00:00
"Retail Capita, LLC",4/1/2015,unauthorized access to email inbox,20 (in Maryland),Maryland,2015-04-01 00:00:00
"Retail Capita, LLC",4/1/2015,unauthorized access to email inbox,20 (in Maryland),Maryland,2015-04-01 00:00:00
"Essex Property Trust, Inc.",4/1/2015,hacking,24 (in Maryland),Maryland,2015-04-01 00:00:00
"SRI, Inc.",4/2/2015,hackers,74 (in Maryland),Maryland,2015-04-02 00:00:00
Fidelity Investments,4/2/2015,administrative error,10 (in Maryland),Maryland,2015-04-02 00:00:00
Fidelity Investments,4/2/2015,administrative error,10 (in Maryland),Maryland,2015-04-02 00:00:00
City of Philadelphia Fire Department,4/3/2015,records improperly accessed,176 (in Maryland),Maryland,2015-04-03 00:00:00
Children&#39;s Heart Center,4/6/2015,unauthorized access,1 (in Maryland),Maryland,2015-04-06 00:00:00
"Equifax, Inc.",4/6/2015,technical error during software change,95 (in Maryland),Maryland,2015-04-06 00:00:00
Franklin &amp; Marshall College,4/6/2015,info inadvertently posted to public portal,23 (in Maryland),Maryland,2015-04-06 00:00:00
"Equifax, Inc.",4/6/2015,technical error during software change,95 (in Maryland),Maryland,2015-04-06 00:00:00
Law Enforcement Targets,4/9/2015,hacking, (in Maryland),Maryland,2015-04-09 00:00:00
"Buchanan &amp; Edwards, Inc.",4/10/2015,employee email account compromised,148 (in Maryland),Maryland,2015-04-10 00:00:00
"Retail Capital, LLC",4/10/2015,hacking,20 (in Maryland),Maryland,2015-04-10 00:00:00
HSBC,4/10/2015,info inadvertently available via the internet,"2,278 (in Maryland)",Maryland,2015-04-10 00:00:00
Kellogg &amp; Andelson Global Management,4/10/2015,criminal cyber attack,3 (in Maryland),Maryland,2015-04-10 00:00:00
"Retail Capital, LLC",4/10/2015,hacking,20 (in Maryland),Maryland,2015-04-10 00:00:00
"Retail Capital, LLC",4/10/2015,hacking,20 (in Maryland),Maryland,2015-04-10 00:00:00
"Austin Powder Company, Inc.",4/13/2015,hacking (a part of the Anthem data breach), (in Maryland),Maryland,2015-04-13 00:00:00
Dulaney Valley Memorial Gardens,4/13/2015,unauthorized access, (in Maryland),Maryland,2015-04-13 00:00:00
Bank of America Merrill Lynch,4/13/2015,former employee potentially engaging in fraudulent activity,14 (in Maryland),Maryland,2015-04-13 00:00:00
State Farm Mutual Automobile Company,4/14/2015,unauthorized access by employee,1 (in Maryland),Maryland,2015-04-14 00:00:00
Weyerhaeuser,4/15/2015,a part of the Premera Blue Cross health plans security breach, (in Maryland),Maryland,2015-04-15 00:00:00
"Hough, Gelfand &amp; Associates, CPA",4/15/2015,cyber attack,124 (in Maryland),Maryland,2015-04-15 00:00:00
Abercrombie &amp; Fitch,4/15/2015,unauthorized access,2 (in Maryland),Maryland,2015-04-15 00:00:00
Compass USA Group,4/16/2015,malware,327 (in Maryland),Maryland,2015-04-16 00:00:00
"Cities Service, LLC",4/16/2015,payment processing system compromised by malware, (in Maryland),Maryland,2015-04-16 00:00:00
"AT&amp;T Services, Inc.",4/20/2015,unauthorized accses,102 (in Maryland),Maryland,2015-04-20 00:00:00
"Sweaty Bands, LLC",4/21/2015,unauthorized access (hacking), (in Maryland),Maryland,2015-04-21 00:00:00
"Freedom Smokes, Inc.",4/21/2015,unauthorized code on website,314 (in Maryland),Maryland,2015-04-21 00:00:00
Columbian Financial Group,4/22/2015,flash drive lost in the mail, (in Maryland),Maryland,2015-04-22 00:00:00
"NewMarket Health, LLC",4/23/2015,hacking,92 (in Maryland),Maryland,2015-04-23 00:00:00
"Saint Agnes Healthcare, Inc.",4/23/2015,phishing,"25,000 (in Maryland)",Maryland,2015-04-23 00:00:00
"Ameriprise Financial Services, Inc.",4/23/2015,unauthorized third party access,3 (in Maryland),Maryland,2015-04-23 00:00:00
Cooper University Health Care,4/24/2015,info inadvertently attached to email,1 (in Maryland),Maryland,2015-04-24 00:00:00
Cooper University Health Care,4/24/2015,info inadvertently attached to email,1 (in Maryland),Maryland,2015-04-24 00:00:00
Gallagher Pool Wealth management LLC,4/24/2015,contents of network drive inadvertently accessible from the internet,2 (in Maryland),Maryland,2015-04-24 00:00:00
John Hancock Life Insurance Company,4/28/2015,phishing attack - unauthorized third parties posed as tech support,1 (in Maryland),Maryland,2015-04-28 00:00:00
University of Chicago,4/29/2015,"name, ssn, dob, university ID number, address",2 (in Maryland),Maryland,2015-04-29 00:00:00
Hard Rock Hotel &amp; Casino Las Vegas,4/30/2015,hackers, (in Maryland),Maryland,2015-04-30 00:00:00
Hard Rock Hotel &amp; Casino Las Vegas,4/30/2015,hackers, (in Maryland),Maryland,2015-04-30 00:00:00
Merrill Lynch Home Loans,5/5/2015,loan application inadvertently mailed to incorrect address,1 (in Maryland),Maryland,2015-05-05 00:00:00
Fort Campbell Federal Credit Union,5/5/2015,inadvertently mailed to wrong address,6 (in Maryland),Maryland,2015-05-05 00:00:00
"First Command Financial Services, Inc.",5/7/2015,stolen laptop,155 (in Maryland),Maryland,2015-05-07 00:00:00
Honig&#39;s Whistle Stop,5/8/2015,hacking,121 (in Maryland),Maryland,2015-05-08 00:00:00
Honig&#39;s Whistle Stop,5/8/2015,hacking,121 (in Maryland),Maryland,2015-05-08 00:00:00
"Big Idea Entertainment, LLC",5/11/2015,unauthorized access (hacking), (in Maryland),Maryland,2015-05-11 00:00:00
Longwood Management Corp.,5/11/2015,laptop stolen from employee vehicle,2 (in Maryland),Maryland,2015-05-11 00:00:00
CareFirst BlueCross BlueShieldÂ,5/12/2015,inadvertently mailed info to wrong address,5 (in Maryland),Maryland,2015-05-12 00:00:00
Regions,5/12/2015,unauthorized access,1 (in Maryland),Maryland,2015-05-12 00:00:00
The Institute for Financial Markets,5/12/2015,hackers using malicious code, (in Maryland),Maryland,2015-05-12 00:00:00
"Blair and Associate, LLC",5/13/2015,unauthorized access,6 (in Maryland),Maryland,2015-05-13 00:00:00
ZenPayroll,5/14/2015,phishing email,2 (in Maryland),Maryland,2015-05-14 00:00:00
"Marsh &amp; McLennan Companies, Inc.",5/15/2015,unauthorized access by person posing as IT held desk technician,1 (in Maryland),Maryland,2015-05-15 00:00:00
Fidelity Investments,5/15/2015,info inadvertently mailed to incorrect person,7 (in Maryland),Maryland,2015-05-15 00:00:00
Hotel Beacon,5/15/2015,payment card processing system compromised by third party intruder,75 (in Maryland),Maryland,2015-05-15 00:00:00
CareFirst BlueCross BlueShield,5/20/2015,cyberattack,"4,476 (in Maryland)",Maryland,2015-05-20 00:00:00
M&amp;T Bank,5/20/2015,info inadvertently emailed to wrong client,11 (in Maryland),Maryland,2015-05-20 00:00:00
"Citibank, N.A.",5/20/2015,improper access by employee,1 (in Maryland),Maryland,2015-05-20 00:00:00
"Mid-America APartment Communities, Inc.",5/20/2015,improper disclosure by former employee,5 (in Maryland),Maryland,2015-05-20 00:00:00
The Pennsylvania State University,5/21/2015,hacking,"1,058 (in Maryland)",Maryland,2015-05-21 00:00:00
LifeView Outdoors,5/21/2015,hacking,2 (in Maryland),Maryland,2015-05-21 00:00:00
SafeandVaultStore.com,5/21/2015,malware,7 (in Maryland),Maryland,2015-05-21 00:00:00
Esurance,5/22/2015,improper access by former employee,1 (in Maryland),Maryland,2015-05-22 00:00:00
M&amp;T Bank (Identity Theft),5/26/2015,info inadvertently faxed to wrong number,3 (in Maryland),Maryland,2015-05-26 00:00:00
"Majorsales, LLC BDA Bikewagon",5/26/2015,malicious software,3 (in Maryland),Maryland,2015-05-26 00:00:00
"Unity Recovery Group, Inc.",5/26/2015,improper disclosure, (in Maryland),Maryland,2015-05-26 00:00:00
"Unity Recovery Group, Inc.",5/26/2015,improper disclosure, (in Maryland),Maryland,2015-05-26 00:00:00
"Ascensus, Inc.",5/28/2015,info inadvertently emailed to wrong recipient,3 (in Maryland),Maryland,2015-05-28 00:00:00
"Sally Beauty Holdings, Inc.",5/28/2015,hacking, (in Maryland),Maryland,2015-05-28 00:00:00
"Copart, Inc.",5/28/2015,hacking,"1,299 (in Maryland)",Maryland,2015-05-28 00:00:00
PHH Mortgage Corporation,5/28/2015,info not redacted on court filings,20 (in Maryland),Maryland,2015-05-28 00:00:00
Heartland Dental,5/29/2015,hacking,610 (in Maryland),Maryland,2015-05-29 00:00:00
Beacon Health System,5/29/2015,cyber attack targeting payroll info,2 (in Maryland),Maryland,2015-05-29 00:00:00
Beacon Health System,5/29/2015,cyber attack targeting payroll info,2 (in Maryland),Maryland,2015-05-29 00:00:00
"Esurance Insurance Services, Inc.",6/1/2015,improper access by employee, (in Maryland),Maryland,2015-06-01 00:00:00
U.S. HealthWorks,6/1/2015,laptop stolen from employee&#39;s vehicle,1 (in Maryland),Maryland,2015-06-01 00:00:00
Metropolitan Hospitality Group,6/2/2015,malicious code, (in Maryland),Maryland,2015-06-02 00:00:00
"CF Industries Holdings, Inc.",6/2/2015,file posted to document sharing website, (in Maryland),Maryland,2015-06-02 00:00:00
"CF Industries Holdings, Inc.",6/2/2015,file posted to document sharing website, (in Maryland),Maryland,2015-06-02 00:00:00
"Akorn, Inc.",6/3/2015,four company email accounts were compromised,3 (in Maryland),Maryland,2015-06-03 00:00:00
Green Tree Servicing LLC,6/3/2015,potentially unauthorized access to servers, (in Maryland),Maryland,2015-06-03 00:00:00
"Fidelity National Financial, Inc.",6/3/2015,FedEx package containing loan documents shipped never arrived,1 (in Maryland),Maryland,2015-06-03 00:00:00
"Gallant Risk &amp; Insurance Services, Inc.",6/3/2015,laptops stolen during office break in,14 (in Maryland),Maryland,2015-06-03 00:00:00
Asbury Methodist Village Continuing Care Retirement&nbsp; Community,6/3/2015,point of sale compromised, (in Maryland),Maryland,2015-06-03 00:00:00
"Allegis Group, Inc.",6/5/2015,unauthorized access,1 (in Maryland),Maryland,2015-06-05 00:00:00
"Kosta Browne Winery, LLC",6/5/2015,hackers,220 (in Maryland),Maryland,2015-06-05 00:00:00
Rite Aid Corporation,6/8/2015,improper employee access,3 (in Maryland),Maryland,2015-06-08 00:00:00
"AeroGrow International, Inc.",6/9/2015,hacker,"1,230 (in Maryland)",Maryland,2015-06-09 00:00:00
"AeroGrow International, Inc.",6/9/2015,hacker,"1,230 (in Maryland)",Maryland,2015-06-09 00:00:00
"AeroGrow International, Inc.",6/9/2015,hacker,"1,230 (in Maryland)",Maryland,2015-06-09 00:00:00
"Deborah Zimmerman, Ph.D., PC",6/9/2015,computer virus,1 (in Maryland),Maryland,2015-06-09 00:00:00
"JTH Tax, Inc. DBA Liberty Tax Service",6/9/2015,laptop stolen from employee vehicle,95 (in Maryland),Maryland,2015-06-09 00:00:00
Volcano Corporation,6/10/2015,attachment inadvertently sent via email,1 (in Maryland),Maryland,2015-06-10 00:00:00
"William Cole Vineyards, LLC",6/10/2015,hackers,14 (in Maryland),Maryland,2015-06-10 00:00:00
Pride Mountain Vineyards,6/10/2015,hackers,155 (in Maryland),Maryland,2015-06-10 00:00:00
Repris Vineyards,6/10/2015,hackers,82 (in Maryland),Maryland,2015-06-10 00:00:00
Cain Vineyard and Winery,6/10/2015,hackers,43 (in Maryland),Maryland,2015-06-10 00:00:00
"Donelan Family Wines, LLC",6/10/2015,hackers,36 (in Maryland),Maryland,2015-06-10 00:00:00
Artisan Wines DBA La Rochelle Wines,6/10/2015,hackers,2 (in Maryland),Maryland,2015-06-10 00:00:00
Outpost Vineyards,6/10/2015,hackers,47 (in Maryland),Maryland,2015-06-10 00:00:00
Flora Springs Winery &amp; Vineyards,6/10/2015,hackers,103 (in Maryland),Maryland,2015-06-10 00:00:00
Martinelli Winery,6/10/2015,hackers,76 (in Maryland),Maryland,2015-06-10 00:00:00
Larkmead Vineyards Vinter &amp; Grower,6/10/2015,hackers,118 (in Maryland),Maryland,2015-06-10 00:00:00
Jessup Cellars DBA The Good Life Wine Collective,6/10/2015,hackers,105 (in Maryland),Maryland,2015-06-10 00:00:00
Roundpoint Mortgage Servicing Corporation,6/11/2015,information sent to nonaffiliated third party, (in Maryland),Maryland,2015-06-11 00:00:00
Palmaz Winery,6/11/2015,hackers,53 (in Maryland),Maryland,2015-06-11 00:00:00
Amici Cellars,6/11/2015,hackers,3 (in Maryland),Maryland,2015-06-11 00:00:00
Corison Winery,6/11/2015,hackers,61 (in Maryland),Maryland,2015-06-11 00:00:00
