Name of Entity,Link to PDF,State Reported,Source(s),Date Notice Provided to Consumers
Fellowship of Catholic University Students ,https://ago.vermont.gov/blog/2019/03/29/fellowship-of-catholic-university-students-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-29
Coinmama-New Bit Ventures Ltd ,https://ago.vermont.gov/blog/2019/03/29/coinmama-new-bit-ventures-ltd-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-29
Earl Enterprises ,https://ago.vermont.gov/blog/2019/03/29/earl-enterprises-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-29
Columbia Forest Products ,https://ago.vermont.gov/blog/2019/03/29/columbia-forest-products-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-29
University of Vermont ,https://ago.vermont.gov/blog/2019/03/28/university-of-vermont-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-28
Superior Dental Care ,https://ago.vermont.gov/blog/2019/03/25/superior-dental-care-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-25
Navicent Health ,https://ago.vermont.gov/blog/2019/03/22/navicent-health-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-22
TriBike Transport ,https://ago.vermont.gov/blog/2019/03/22/tribike-transport-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-22
Brighton Collectibles ,https://ago.vermont.gov/blog/2019/03/22/brighton-collectibles-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-22
WesternTechnical College ,https://ago.vermont.gov/blog/2019/03/21/westerntechnical-college-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-21
Tempo Inc ,https://ago.vermont.gov/blog/2019/03/21/tempo-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-21
EMC Business Solutions ,https://ago.vermont.gov/blog/2019/03/18/emc-business-solutions-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-18
Kathmandu Limited ,https://ago.vermont.gov/blog/2019/03/18/kathmandu-limited-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-18
"Eye Buy Direct, Inc ",https://ago.vermont.gov/blog/2019/03/18/eye-buy-direct-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-18
Cherrydale Fundraising ,https://ago.vermont.gov/blog/2019/03/15/cherrydale-fundraising-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-15
Cremation Society of Pennsylvania ,https://ago.vermont.gov/blog/2019/03/15/cremation-society-of-pennsylvania-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-15
Discover ,https://ago.vermont.gov/blog/2019/03/14/discover-notice-of-data-breach-to-consumers-5/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-14
James Perse Enterprises ,https://ago.vermont.gov/blog/2019/03/13/james-perse-enterprises-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-13
Rutland Regional Medical Center ,https://ago.vermont.gov/blog/2019/03/12/rutland-regional-medical-center-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-12
Intuit Inc. Turbo Tax ,https://ago.vermont.gov/blog/2019/03/12/intuit-inc-turbo-tax-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-12
Harland Clarke Corp ,https://ago.vermont.gov/blog/2019/03/12/harland-clarke-corp-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-12
International Vapor Group ,https://ago.vermont.gov/blog/2019/03/12/international-vapor-group-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-12
International Vapor Group ,https://ago.vermont.gov/blog/2019/03/12/international-vapor-group-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-12
Polaris Real Estate Partners ,https://ago.vermont.gov/blog/2019/03/11/polaris-real-estate-partners-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-11
Bamboo HR LLC ,https://ago.vermont.gov/blog/2019/03/11/bamboo-hr-llc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-11
Supplemental OnCourse Learning Corp ,https://ago.vermont.gov/blog/2019/03/08/supplemental-oncourse-learning-corp-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-08
Velan Studios ,https://ago.vermont.gov/blog/2019/03/08/velan-studios-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-08
"Stevens, Powell & Company, P.A. ",https://ago.vermont.gov/blog/2019/03/08/stevens-powell-company-p-a-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-08
Emerson Hospital ,https://ago.vermont.gov/blog/2019/03/08/emerson-hospital-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-08
Rush ,https://ago.vermont.gov/blog/2019/03/07/rush-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-07
"Temptu, Inc. ",https://ago.vermont.gov/blog/2019/03/04/temptu-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-04
St. Francis Physician Servcies ,https://ago.vermont.gov/blog/2019/03/04/st-francis-physician-servcies-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-03-04
BLD-AssuredPartners ,https://ago.vermont.gov/blog/2019/02/27/bld-assuredpartners-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-27
"Capital Asset Management Group, Inc. ",https://ago.vermont.gov/blog/2019/02/26/capital-asset-management-group-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-26
DiPardo Eremic & Co. CPA’s ,https://ago.vermont.gov/blog/2019/02/25/dipardo-eremic-co-cpas-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-25
Discover ,https://ago.vermont.gov/blog/2019/02/25/discover-notice-of-data-breach-to-consumers-4/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-25
Pasquotank County ,https://ago.vermont.gov/blog/2019/02/25/pasquotank-county-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-25
"Investment Professionals, Inc ",https://ago.vermont.gov/blog/2019/02/25/investment-professionals-inc-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-25
"Investment Professionals, Inc ",https://ago.vermont.gov/blog/2019/02/25/investment-professionals-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-25
Intuit ,https://ago.vermont.gov/blog/2019/02/22/intuit-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-22
