Name of Entity,Link to PDF,State Reported,Source(s),Date Notice Provided to Consumers
Infowarstore.com-Free Speech Systems ,https://ago.vermont.gov/blog/2018/12/14/infowarstore-com-free-speech-systems-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-14
Okabena ,https://ago.vermont.gov/blog/2018/12/12/okabena-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-12
Ronin Gallery ,https://ago.vermont.gov/blog/2018/12/12/ronin-gallery-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-12
Frontier Wealth Management ,https://ago.vermont.gov/blog/2018/12/10/frontier-wealth-management-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-10
East End Disability Associates ,https://ago.vermont.gov/blog/2018/12/10/east-end-disability-associates-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-10
Robert Graham Designs ,https://ago.vermont.gov/blog/2018/12/07/robert-graham-designs-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-07
Robert Graham Designs ,https://ago.vermont.gov/blog/2018/12/07/robert-graham-designs-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-07
Synchrony ,https://ago.vermont.gov/blog/2018/12/04/synchrony-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-12-04
Marriott International ,https://ago.vermont.gov/blog/2018/11/30/marriott-international-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-30
"Rosenberg & Manente, PLLC ",https://ago.vermont.gov/blog/2018/11/30/rosenberg-manente-pllc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-30
Ontario Inc ,https://ago.vermont.gov/blog/2018/11/30/ontario-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-30
Altar’d State ,https://ago.vermont.gov/blog/2018/11/30/altard-state-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-30
Equity Concepts LLC ,https://ago.vermont.gov/blog/2018/11/29/equity-concepts-llc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-29
Sothebys Home ,https://ago.vermont.gov/blog/2018/11/29/sothebys-home-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-29
Dunkin Brands Inc ,https://ago.vermont.gov/blog/2018/11/28/dunkin-brands-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-28
SHG Planning ,https://ago.vermont.gov/blog/2018/11/28/shg-planning-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-28
Atrium Health – AccuDoc Soultions ,https://ago.vermont.gov/blog/2018/11/27/atrium-health-accudoc-soultions-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-27
British Airways ,https://ago.vermont.gov/blog/2018/11/21/british-airways-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-21
Francescas Service Corp ,https://ago.vermont.gov/blog/2018/11/19/francescas-service-corp-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-19
Chamberlain Goup ,https://ago.vermont.gov/blog/2018/11/18/chamberlain-goup-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-18
Group Dynamic Inc. ,https://ago.vermont.gov/blog/2018/11/16/group-dynamic-inc-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-16
New York Oncology Hematology ,https://ago.vermont.gov/blog/2018/11/16/new-york-oncology-hematology-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-16
Newegg Inc ,https://ago.vermont.gov/blog/2018/11/15/newegg-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-15
Rainforest Alliance Holdings LLC ,https://ago.vermont.gov/blog/2018/11/15/rainforest-alliance-holdings-llc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-15
Stein Mart ,https://ago.vermont.gov/blog/2018/11/15/stein-mart-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-15
StataCorp ,https://ago.vermont.gov/blog/2018/11/13/statacorp-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-13
Jennifer Miller Ltd ,https://ago.vermont.gov/blog/2018/11/12/jennifer-miller-ltd-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-12
McKenna Sachs ,https://ago.vermont.gov/blog/2018/11/12/mckenna-sachs-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-12
Simeon S. Patestas CPA ,https://ago.vermont.gov/blog/2018/11/09/simeon-s-patestas-cpa-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-09
Royal Caribbean Ltd ,https://ago.vermont.gov/blog/2018/11/09/royal-caribbean-ltd-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-09
Professional Publications Inc ,https://ago.vermont.gov/blog/2018/11/07/professional-publications-inc-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-07
Nordstrom ,https://ago.vermont.gov/blog/2018/11/05/nordstrom-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-05
ImpactAssets ,https://ago.vermont.gov/blog/2018/11/02/impactassets-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-02
Inova Health System ,https://ago.vermont.gov/blog/2018/11/02/inova-health-system-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-02
Hemenway ,https://ago.vermont.gov/blog/2018/11/02/hemenway-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-02
Five Guys Holdings Inc ,https://ago.vermont.gov/blog/2018/11/02/five-guys-holdings-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-02
El Paso-Los Angeles Limousine Express ,https://ago.vermont.gov/blog/2018/11/02/el-paso-los-angeles-limousine-express-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-02
OXO ,https://ago.vermont.gov/blog/2018/11/01/oxo-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-11-01
2018-10-25 Discover ,https://ago.vermont.gov/blog/2018/10/25/2018-10-25-discover-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-25
Net32 Inc ,https://ago.vermont.gov/blog/2018/10/25/net32-inc-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-25
STL International Inc – Teeter ,https://ago.vermont.gov/blog/2018/10/25/stl-international-inc-teeter-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-25
Strategic Risk Solutions ,https://ago.vermont.gov/blog/2018/10/22/strategic-risk-solutions-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-22
"Challenger Sports, Inc. ",https://ago.vermont.gov/blog/2018/10/22/challenger-sports-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-22
"Gale & McAllister, PLLC ",https://ago.vermont.gov/blog/2018/10/19/gale-mcallister-pllc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-19
Tallahassee Memorial Healthcare ,https://ago.vermont.gov/blog/2018/10/17/tallahassee-memorial-healthcare-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-17
Envision Healthcare Corporation ,https://ago.vermont.gov/blog/2018/10/10/envision-healthcare-corporation-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-10
Alaskans for Dan Sullivan ,https://ago.vermont.gov/blog/2018/10/10/alaskans-for-dan-sullivan-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-10
Dragas Mortgage Co ,https://ago.vermont.gov/blog/2018/10/09/dragas-mortgage-co-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-09
"Roadrunner Transporation System, Inc ",https://ago.vermont.gov/blog/2018/10/09/roadrunner-transporation-system-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-09
Five Below Inc. ,https://ago.vermont.gov/blog/2018/10/05/five-below-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-05
California State University East Bay ,https://ago.vermont.gov/blog/2018/10/05/california-state-university-east-bay-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-05
,https://ago.vermont.gov/blog/2018/10/05/notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-05
Professional Publications Inc ,https://ago.vermont.gov/blog/2018/10/04/professional-publications-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-10-04
Plant Therapy SBN Notice of Data Security Incident to Consumers,https://ago.vermont.gov/blog/2018/09/30/plant-therapy-sbn-notice-of-data-security-incident-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-30
McKenna & Sachs LLC SBN to Consumer ,https://ago.vermont.gov/blog/2018/09/28/mckenna-sachs-llc-sbn-to-consumer-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-28
Aflac ,https://ago.vermont.gov/blog/2018/09/28/aflac-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-28
2018-09-20 Plant Therapy Notice of Data Security Incident to Consumers,https://ago.vermont.gov/blog/2018/09/20/2018-09-20-plant-therapy-notice-of-data-security-incident-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-20
2018-09-20 YRC Worldwide Inc. ,https://ago.vermont.gov/blog/2018/09/20/2018-09-20-yrc-worldwide-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-20
Garretson Resolution Group Inc Email Phishing Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/09/19/garretson-resolution-group-inc-email-phishing-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-19
2018-09-19 The Affiliated Group ,https://ago.vermont.gov/blog/2018/09/19/2018-09-19-the-affiliated-group-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-19
"2018-09-18 Peaceful Valley Farm Supply, Inc ",https://ago.vermont.gov/blog/2018/09/18/2018-09-18-peaceful-valley-farm-supply-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-18
Discover ,https://ago.vermont.gov/blog/2018/09/17/discover-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-17
"2018-09-14 Kyocera Documents Solutions New England, Inc ",https://ago.vermont.gov/blog/2018/09/14/2018-09-14-kyocera-documents-solutions-new-england-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-14
2018-09-14 Stein Mart Inc. ,https://ago.vermont.gov/blog/2018/09/14/2018-09-14-stein-mart-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-14
2018-09-14 Title Nine ,https://ago.vermont.gov/blog/2018/09/14/2018-09-14-title-nine-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-14
2018-09-13 Tauck ,https://ago.vermont.gov/blog/2018/09/13/2018-09-13-tauck-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-13
Richard Owen Nursery Inc ,https://ago.vermont.gov/blog/2018/09/12/richard-owen-nursery-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-12
Lillebaby ,https://ago.vermont.gov/blog/2018/09/12/lillebaby-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-12
"2018-09-12 Nardella & Taylor, LLP ",https://ago.vermont.gov/blog/2018/09/12/2018-09-12-nardella-taylor-llp-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-12
David G Simon DMD Security Breach Notice to Consumers,https://ago.vermont.gov/blog/2018/09/03/david-g-simon-dmd-security-breach-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-09-03
North American Risk Services Inc ,https://ago.vermont.gov/blog/2018/08/31/north-american-risk-services-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-31
Movement Mortgage LLC ,https://ago.vermont.gov/blog/2018/08/31/movement-mortgage-llc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-31
Augusta University Data Secuirty Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/08/29/augusta-university-data-secuirty-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-29
Williams Sonoma Inc Notice of Security Breach to Consumers,https://ago.vermont.gov/blog/2018/08/28/williams-sonoma-inc-notice-of-security-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-28
2018-08-23 REEB Millwork Corporation ,https://ago.vermont.gov/blog/2018/08/23/2018-08-23-reeb-millwork-corporation-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-23
2018-08-22 Cheddar’s Scratch Kitchen ,https://ago.vermont.gov/blog/2018/08/22/2018-08-22-cheddars-scratch-kitchen-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-22
Munro ,https://ago.vermont.gov/blog/2018/08/21/munro-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-21
CNG Financial Corporation Inc ,https://ago.vermont.gov/blog/2018/08/20/cng-financial-corporation-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-20
Whitmer Company CPAs LLP ,https://ago.vermont.gov/blog/2018/08/20/whitmer-company-cpas-llp-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-20
Cain Watters Associates Data Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/08/20/cain-watters-associates-data-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-20
2018-08-17 Dallas County Community College District ,https://ago.vermont.gov/blog/2018/08/17/2018-08-17-dallas-county-community-college-district-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-17
2018-08-15 Discover ,https://ago.vermont.gov/blog/2018/08/15/2018-08-15-discover-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-15
TCM Bank N A Data Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/08/07/tcm-bank-n-a-data-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-07
North American Power Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/08/03/north-american-power-notice-of-data-security-incident/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-03
"Our Honeymoon Wishes, Inc. Security Incident Notice to Consumers",https://ago.vermont.gov/blog/2018/08/03/our-honeymoon-wishes-inc-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-03
Yoakum National Bank Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/08/02/yoakum-national-bank-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-08-02
Department of Vermont Health Access Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/07/31/department-of-vermont-health-access-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-31
LifeBridge Health Data Breach Notice to Consumers,https://ago.vermont.gov/blog/2018/07/30/lifebridge-health-data-breach-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-30
Loyola University Chicago Notice of Unauthorized Access to Confidential Information,https://ago.vermont.gov/blog/2018/07/30/loyola-university-chicago-notice-of-unauthorized-access-to-confidential-information/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-30
TradeMotion LLC ,https://ago.vermont.gov/blog/2018/07/30/trademotion-llc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-30
Sunspire Health ,https://ago.vermont.gov/blog/2018/07/27/sunspire-health-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-27
Yale University Data Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/07/27/yale-university-data-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-27
Optoma Technologies Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/07/26/optoma-technologies-secuirty-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-26
Southern College of Optometry Security Breach Notice to Consumers,https://ago.vermont.gov/blog/2018/07/25/southern-college-of-optometry-security-breach-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-25
Clark University Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/07/20/clark-university-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-20
Spinnaker Trust Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/07/20/spinnaker-trust-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-20
NorthStar Anesthesia Data Privacy Notice to Consumers,https://ago.vermont.gov/blog/2018/07/20/northstar-anesthesia-data-privacy-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-20
Helly Hansen ,https://ago.vermont.gov/blog/2018/07/19/helly-hansen-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-19
CBIZ MHM LLC Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/07/18/cbiz-mhm-llc-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-18
Blue Spring Family Care PC Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/07/18/blue-spring-family-care-pc-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-18
McDonald Hopkins PLC Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/07/18/mcdonald-hopkins-plc-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-18
2018-07-17 Discover ,https://ago.vermont.gov/blog/2018/07/17/2018-07-17-discover-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-17
Pinnacle Trailer Sales Inc Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/07/16/pinnacle-trailer-sales-inc-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-16
City of Bozeman Montana Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/07/16/city-of-bozeman-montana-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-16
Automated Pet Care Products Inc Notice of Data Security Incident to Consumers,https://ago.vermont.gov/blog/2018/07/13/automated-pet-care-products-inc-notice-of-data-security-incident-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-13
Howard Center ,https://ago.vermont.gov/blog/2018/07/13/howard-center-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-13
Toms Shoes ,https://ago.vermont.gov/blog/2018/07/13/toms-shoes-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-13
Tommie Copper Inc ,https://ago.vermont.gov/blog/2018/07/11/tommie-copper-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-11
The Fruitful Yield Inc Notice of Security Incident to Consumers,https://ago.vermont.gov/blog/2018/07/11/the-fruitful-yield-inc-notice-of-security-incident-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-11
Toyo Tire Holdings of Americas Inc ,https://ago.vermont.gov/blog/2018/07/09/toyo-tire-holdings-of-americas-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-09
Terteling Company Inc ,https://ago.vermont.gov/blog/2018/07/09/terteling-company-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-09
Paquin ,https://ago.vermont.gov/blog/2018/07/06/paquin-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-06
International Mission Board ,https://ago.vermont.gov/blog/2018/07/06/international-mission-board-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-06
Career Technology Education Centers of Licking County ,https://ago.vermont.gov/blog/2018/07/05/career-technology-education-centers-of-licking-county-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-05
MSK Group PC Notice of Security Incident to Consumers,https://ago.vermont.gov/blog/2018/07/05/msk-group-pc-notice-of-security-incident-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-05
The Information and Referral Federation of Los Angeles County Inc ,https://ago.vermont.gov/blog/2018/07/05/the-information-and-referral-federation-of-los-angeles-county-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-05
Village of Wellington Notice of Security Incident to Consumers,https://ago.vermont.gov/blog/2018/07/05/village-of-wellington-notice-of-security-incident-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-05
Macy’s ,https://ago.vermont.gov/blog/2018/07/02/macys-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-02
Jefferies LLC Notice of Security Incident to Consumers,https://ago.vermont.gov/blog/2018/07/02/jefferies-llc-notice-of-security-incident-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-07-02
TCI ,https://ago.vermont.gov/blog/2018/06/29/tci-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-29
North Colonie Central School District Notice of Security Incident to Consumers,https://ago.vermont.gov/blog/2018/06/27/north-colonie-central-school-district-notice-of-security-incident-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-27
GreatBanc Trust Company ,https://ago.vermont.gov/blog/2018/06/25/greatbanc-trust-company-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-25
Penn Mutual Notice to Consumers,https://ago.vermont.gov/blog/2018/06/25/penn-mutual-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-25
Capital Integration Systems LLC Notice of Email Phishing,https://ago.vermont.gov/blog/2018/06/25/capital-integration-systems-llc-notice-of-email-phishing/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-25
ERFC Data Security Incident to Consumers,https://ago.vermont.gov/blog/2018/06/25/erfc-data-security-incident-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-25
Manchester Capital Management LLC Data Breach Notice to Consumers,https://ago.vermont.gov/blog/2018/06/21/manchester-capital-management-llc-data-breach-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-21
Discover Notice of Security Breach to Consumers,https://ago.vermont.gov/blog/2018/06/20/discover-notice-of-security-breach-06-20-2018/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-20
REvUp Notice of Security Incident to Consumers,https://ago.vermont.gov/blog/2018/06/20/revup-notice-of-security-incident-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-20
City of Goodyear ,https://ago.vermont.gov/blog/2018/06/18/city-of-goodyear-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-18
OFD Foods LLC ,https://ago.vermont.gov/blog/2018/06/18/ofd-foods-llc-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-18
HealthEquity Inc ,https://ago.vermont.gov/blog/2018/06/13/healthequity-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-13
Ithaca College Notice of Security Incident to Consumers,https://ago.vermont.gov/blog/2018/06/13/ithaca-college-notice-of-security-incident-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-13
OFD Foods LLC ,https://ago.vermont.gov/blog/2018/06/13/ofd-foods-llc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-13
Highgate Hotels LP Information Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/06/11/highgate-hotels-lp-information-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-11
Corporation Service Company Notice of Data Breach,https://ago.vermont.gov/blog/2018/06/11/corporation-service-company-notice-of-data-breach/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-11
Weichert Co Data Security Incident Letter to Consumers,https://ago.vermont.gov/blog/2018/06/11/weichert-co-data-security-incident-letter-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-11
Wilkins Reinicke Co PC ,https://ago.vermont.gov/blog/2018/06/08/wilkins-reinicke-co-pc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-08
Elmcroft Senior Living Inc Notice of Data Breach,https://ago.vermont.gov/blog/2018/06/08/elmcroft-senior-living-inc-notice-of-data-breach/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-08
Total Phase Inc Security Incident Notice to Consumers,https://ago.vermont.gov/blog/2018/06/08/total-phase-inc-security-incident-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-08
Lutz Carr CPAs LLP Informational Notice to Consumers,https://ago.vermont.gov/blog/2018/06/07/lutz-carr-cpas-llp-informational-notice-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-07
Systeme Software Inc ,https://ago.vermont.gov/blog/2018/06/07/systeme-software-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2018-06-07
